a52dec 0.7.4-10
acl 2.2.53-2
acpi 1.7-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
alsa-lib 1.2.1.2-2
alsa-plugins 1.2.1-1
alsa-topology-conf 1.2.1-1
alsa-ucm-conf 1.2.1.2-1
alsa-utils 1.2.1-1
anamnesis 1.0.4-4
android-tools 29.0.5-2
android-udev 20191103-1
aom 1.0.0.errata1-1
archlinux-keyring 20191219-1
argon2 20190702-2
aribb24 1.0.3-2
asar 2.0.3-1
aspell 0.60.8-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
atool 0.39.0-6
attica 5.65.0-2
attr 2.4.48-2
audit 2.8.5-6
autoconf 2.69-6
automake 1.16.1-2
avahi 0.7+18+g1b5f401-3
base 2-2
bash 5.0.011-2
binutils 2.33.1-2
bison 3.5-1
bluez-libs 5.52-1
boost-libs 1.71.0-4
brotli 1.0.7-3
browsh 1.6.4-1
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
bzip2 1.0.8-3
c-ares 1.15.0-1
ca-certificates 20181109-2
ca-certificates-mozilla 3.48-1
ca-certificates-utils 20181109-2
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
camlidl 1.07-1
cantarell-fonts 1:0.111-1
cava 0.6.1-1
cdparanoia 10.2-7
clojure 1.10.1-2
cmake 3.16.2-1
colord 1.4.4+9+g1ce26da-1
confuse 3.2.2-1
conky 1.11.5-2
coreutils 8.31-3
cppo 1.6.6-1
cpufreqd 2.4.2-11
cpufrequtils 008-1
cracklib 2.9.7-2
cronie 1.5.5-1
cryptsetup 2.2.2-1
ctemplate 2.3-6
curl 7.67.0-3
dav1d 0.5.2-1
davfs2 1.5.5-1
db 5.3.28-5
dbus 1.12.16-3
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-4
dhclient 4.4.1-4
dhcpcd 8.1.4-1
dialog 1:1.3_20191210-1
diffutils 3.7-3
dmenu 4.9-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-3
double-conversion 3.1.5-1
dune 1.11.4-1
dunst 1.4.1-1
e2fsprogs 1.45.4-2
elinks 0.13-21
emacs 26.3-1
enchant 2.2.7-1
exa 0.9.0-1
exiv2 0.27.2-1
expac 10-1
expat 2.2.9-2
faad2 2.9.1-2
fakeroot 1.24-2
feh 3.3-2
ffmpeg 1:4.2.1-4
ffmpegthumbnailer 2.2.2-1
fftw 3.3.8-1
file 5.37-5
filesystem 2019.10-2
findutils 4.7.0-2
firefox 71.0-1
flac 1.3.3-1
flex 2.6.4-3
fontconfig 2:2.13.91+24+g75eadca-1
fortune-mod 2.10.0-2
freetype2 2.10.1-1
fribidi 1.0.8-1
fuse-common 3.9.0-1
fuse2 2.9.9-3
gapi-ocaml 0.3.16-1
gawk 5.0.1-2
gc 8.0.4-3
gcc 9.2.0-4
gcc-libs 9.2.0-4
gconf 3.2.6+11+g07808097-5
gd 2.2.5-2
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-1
gettext 0.20.1-3
ghostscript 9.50-2
giblib 1.2.4-7
giflib 5.2.1-1
git 2.24.1-2
glib-networking 2.62.2-1
glib2 2.62.4-1
glib2-docs 2.62.4-1
glibc 2.30-3
glibmm 2.62.0-1
gmp 6.1.2-3
gnome-icon-theme 3.12.0-5
gnome-icon-theme-symbolic 3.12.0-5
gnu-free-fonts 20120503-7
gnupg 2.2.19-1
gnutls 3.6.11.1-1
go 2:1.13.5-1
google-drive-ocamlfuse 0.7.13-1
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.4-1
graphene 1.10.0-1
graphite 1:1.3.13-2
graphviz 2.42.3-1
grep 3.3-3
groff 1.22.4-2
grub 2:2.04-3
gsettings-desktop-schemas 3.34.0-1
gsfonts 20180524-2
gsl 2.6-1
gsm 1.0.18-1
gst-plugins-base 1.16.2-1
gst-plugins-base-libs 1.16.2-1
gstreamer 1.16.2-1
gtk-doc 1.32-2
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gtk-update-icon-cache 1:3.24.13-1
gtk2 2.24.32-1
gtk3 1:3.24.13-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.2-1
gtkspell 2.0.16-7
gts 0.7.6.121130-1
guile 2.2.6-1
gzip 1.10-3
harfbuzz 2.6.4-2
hicolor-icon-theme 0.17-1
highlight 3.54-1
hspell 1.4-2
hunspell 1.7.0-2
hwdetect 2016.01-2
hwids 20191025-2
i3-gaps 4.17.1-1
i3blocks 1.5-3
i3lock 2.12-1
i3status 2.13-2
iana-etc 20191212-1
icu 65.1-2
ijs 0.35-2
imagemagick 7.0.9.10-1
imlib2 1.6.1-1
inetutils 1.9.4-8
iniparser 4.1-1
inkscape 0.92.4-9
intltool 0.51.0-4
iproute2 5.4.0-1
iptables 1:1.8.3-3
iputils 20190709-2
iso-codes 4.4-1
iw 5.4-1
j4-dmenu-desktop 2.17-1
jack 0.125.0-8
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-2
java-runtime-common 3-2
